	AB	AB_2	AS	AS_2	D	D_2	N	N_2
B02_D1__11_17	0.0	0.0	16.2849872775	16.694791231	18.491280333	21.364464488499998	1.7191087944999999	1.2260318975
B02_D1__11_18	0.0	0.0	5.49778021	9.72825523	11.244906647	12.128444990999999	0.085142614	0.373593465
B02_D1__11_19	0.0	0.0	7.072738025	7.924572465	14.902424601	14.76951885	9.722057954	6.94881285
B02_D1__11_2	0.0	0.0	8.583489681	6.6843969295	5.0739432735	6.5915763695	6.213442225	9.351836003999999
B02_D1__11_20	0.0	0.0	0.771785253	1.51797981	20.546091876000002	17.6789020965	13.3509624255	12.3372259725
B02_D1__11_21	0.0	0.0	1.094568352	0.8224989535	19.2402754075	16.0531594065	15.012063791	12.953637033
B02_D1__11_22	0.0	0.0	0.689899651	0.428638091	12.2218586385	11.573895074	6.0754799305	7.620158656499999
B02_D1__11_23	0.0	0.0	0.0562772595	0.1940107735	22.7664962715	18.0726741535	25.8429864465	18.408769287
B02_D1__11_24	0.0	0.0	2.105294862	3.488304051	10.330702969499999	13.297833433000001	13.1136678515	18.2958585075
B02_D1__11_25	0.0	0.0	18.0012592295	13.881234500000001	7.1060614735000005	4.499173326	2.3896743175	1.496968862
B02_D1__11_3	0.0	0.0	4.9547831769999995	6.503410128	6.275877097	8.2662048225	13.687622575499999	19.9801299605
B02_D1__11_4	0.0	0.0	6.213701367500001	9.3254475225	8.914631862	9.726000631000002	11.646786985999999	13.197961914
B02_D1__11_5	0.0	0.0	6.63076727	5.352973015	11.776701504	9.472666821	16.0814427735	11.829428593500001
B02_D1__11_6	0.0	0.0	8.024036762	7.428464236	6.3214327794999985	7.696137141	10.739955225500001	11.5048844895
B02_D1__11_7	0.0	0.0	3.7052324105	6.512858035500001	8.172466345	10.3374948555	10.804546608999999	11.416746695500002
B02_D1__11_8	0.0	0.0	10.3146054585	8.596439461000001	11.767728674	10.951397378	11.6050017125	10.1891272885
B02_D1__11_9	0.0	0.0	46.3958175125	30.8631910075	26.867807699	19.701014415499998	20.5794731	15.41175452
B02_D1__12_14	0.0	0.0	18.9113825215	18.1158927795	16.000223077	15.61276642	0.839328537	0.5967268379999999
B02_D1__12_15	0.0	0.0	12.662848158	13.133061589499999	8.760107817	9.410771121	0.182502246	0.5695460385
B02_D1__12_16	0.0	0.0	10.566488872499999	10.7292621705	7.206792962	8.8880705815	3.059285145	1.392542047
